"Gender","Age","WorkType","Position","V1","V2r","V3","V4","V5","V6","V7","SDS1r","SDaw2","SDS3r","SDaw4","SDS5r","SDaw6","SDS7r","SDaw8","SDS9r","SDaw10","MF1","MF2","MF3","MF4","MF5","MF6","MF7","MF8","MF9","MF10","MF11","MF12","MF13","MF14","MF15","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15","P16","P17","P18","P19","P20","P21","P22","P23","P24","mach1","mach2","mach3","mach4","mach5","mach6","mach7","mach8","mach9","narc1","narc2","narc3","narc4","narc5","narc6","narc7","narc8","narc9","psy1","psy2","psy3","psy4","psy5","psy6","psy7","psy8","psy9","Energia","Uvedomovanie","Agentnost","Sustredenost","Smerovanie","Tlak","Vazby","Zdatnost","Pochybnosti","Izolacia","Zdroje","Bariery","Presadzovanie","Potreba_uznania","Indiferentnost","AgeCLASS1","AgeCLASS2","AgeCLASS3","weight1","weight2","weight3","ZGender","ZAge","ZWorkType","ZPosition","ZVitality","ZSelf_Awareness","ZChoice_Perception","ZMindfulness","ZS_Autonomy","ZF_Autonomy","ZS_Relatedness","ZS_Competency","ZF_Competency","ZF_Relatedness","ZNeeds_satisfaction","ZNeeds_frustration","ZMachiavellianism","ZNarcissism","ZPsychopathy"
1,32,0,0,6,6,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,5,3,4,5,4,3,3,4,3,4,4,5,5,5,5,3,4,4,4,3,3,4,4,4,4,4,4,4,5,4,4,4,3,3,4,3,4,4,3,5,3,4,4,5,3,3,3,3,3,1,2,1,2,1,1,2,2,1,3,1,1,2,2,1,1,1,5.28571428571429,3,3,4.13333333333333,3.5,4.25,3.75,3.75,3.25,4,3.66666666666667,3.83333333333333,3.66666666666667,1.66666666666667,1.44444444444444,NA,2,NA,NA,0.4,NA,0.929926776408983,-0.227852832311975,-0.586045735337861,-0.678645233146201,0.40909074572364,-1.69426125877529,-0.650113195309975,-0.0163335594403852,-0.551978042773673,1.86629658021182,-0.411370810176828,-0.584405579114617,1.14717837779045,2.7546349817024,-0.622005732341807,2.27971950250415,1.07826223228317,-1.52368251776986,-0.817953324822598
1,34,1,1,5,3,1,6,6,1,2,1,5,5,5,4,5,5,5,5,5,6,1,6,1,6,1,6,6,6,6,6,1,6,6,6,5,5,5,1,5,1,5,5,2,1,5,1,4,5,5,1,5,1,4,5,5,1,5,1,5,5,1,1,1,1,1,1,1,4,4,5,1,1,1,1,1,1,1,5,1,1,1,2,1,1,1,3.42857142857143,5,4,4.66666666666667,4.5,5,4.25,5,1,1,4.58333333333333,2.33333333333333,1.88888888888889,2.11111111111111,1.55555555555556,NA,2,NA,NA,0.4,NA,0.929926776408983,0.0127269149579675,1.70343960404871,1.47100939725204,-1.18909043423671,1.01175427036704,0.384559081853652,0.661292340174559,0.735421491814876,2.67421319878172,0.263876514091025,1.00992249053698,-1.20516173281097,-0.910567135862648,0.813529158698379,0.262058711061476,-1.31855775109451,-0.892003737852536,-0.653407959787912
1,29,0,0,5,7,6,6,6,3,5,3,4,4,4,5,4,3,5,2,5,3,6,4,4,4,2,5,4,5,4,3,4,4,5,5,4,2,2,1,3,1,4,2,4,2,4,2,3,1,5,1,5,1,5,1,5,1,4,1,4,1,1,1,1,1,1,5,1,1,2,1,1,1,2,1,3,1,1,2,1,2,3,1,1,1,1,5.42857142857143,4.4,3.4,4.13333333333333,4,1.5,4,4,1.25,1.25,4,1.33333333333333,1.77777777777778,1.44444444444444,1.44444444444444,NA,2,NA,NA,0.4,NA,0.929926776408983,-0.588722453216888,-0.586045735337861,-0.678645233146201,0.532027759566745,0.199949611624342,-0.236244284444524,-0.0163335594403852,0.0917217245206013,-1.09606435454449,-0.0737471480429018,-0.265539965184297,-0.943790609410809,-0.60513362606556,-0.0999930446908302,-1.08304848323364,-1.46835900005561,-1.83952190772853,-0.817953324822598
0,32,1,0,5,6,5,6,4,5,5,3,2,2,4,2,4,2,2,3,4,5,5,4,2,2,2,2,5,4,5,6,6,5,4,6,5,4,4,3,5,2,3,4,3,2,5,3,3,2,5,1,4,4,2,3,3,2,4,2,5,4,4,4,4,1,2,3,5,4,4,3,3,4,2,4,5,2,3,4,1,2,4,4,4,1,2,5.14285714285714,3.2,2.4,4.2,3.25,3.25,3.75,4.5,2.75,2,3.83333333333333,2.66666666666667,3.55555555555556,3.44444444444444,2.77777777777778,NA,2,NA,NA,0.4,NA,-1.07351841100155,-0.227852832311975,1.70343960404871,-0.678645233146201,0.286153731880537,-1.42365970586106,-1.27091656160815,0.0683696780114825,-0.873827926420811,0.789074422118615,-0.411370810176828,0.372191262676343,0.624436130990133,0.311166903325703,-0.360999388516318,0.710427775826514,0.928460983322069,1.00303260189944,1.15659105559364
0,32,1,0,6,6,4,6,4,3,6,2,5,2,5,3,5,5,5,3,5,4,5,5,2,4,1,5,5,4,5,6,6,3,5,6,5,3,2,2,5,1,5,2,4,3,5,3,5,4,4,3,5,1,4,3,2,4,5,2,4,4,3,2,4,3,4,2,3,3,4,3,2,4,2,3,5,3,4,3,2,5,4,4,3,1,2,5,5,3,4.4,4.75,3,3,5,1.75,3,4.25,2.58333333333333,3.22222222222222,3.22222222222222,3.11111111111111,NA,2,NA,NA,0.4,NA,-1.07351841100155,-0.227852832311975,1.70343960404871,-0.678645233146201,0.163216718037433,1.01175427036704,-0.650113195309975,0.322479390367087,1.05727137546201,0.519768882595314,-1.42424179657861,1.00992249053698,-0.421048362610495,1.53290094251405,0.291516471047402,0.598335509635255,0.479057236438754,0.68719321194078,1.6502271506977
0,35,0,0,5,6,6,6,6,3,4,4,4,3,3,3,3,4,4,4,4,3,5,5,4,5,1,5,3,4,5,2,4,5,3,6,5,3,4,2,2,4,4,3,5,1,3,4,5,5,5,1,4,3,3,2,4,3,4,3,4,4,4,4,2,1,4,3,4,4,4,3,2,2,4,2,4,4,3,2,1,4,4,3,1,4,4,5.14285714285714,3.6,3.6,4,4.25,3.25,4.5,3.25,3.5,1.75,4,2.83333333333333,3.33333333333333,3.22222222222222,2.88888888888889,NA,2,NA,NA,0.4,NA,-1.07351841100155,0.133016788592939,-0.586045735337861,-0.678645233146201,0.286153731880537,-0.882456600032593,-0.0293098290117988,-0.185740034344122,0.413571608167739,0.789074422118615,0.601500176224951,-1.22213680697526,1.4085495011906,0.005733393528615,-0.0999930446908302,0.934612308209034,0.628858485399859,0.68719321194078,1.32113642062832
1,32,0,0,3,3,1,3,3,3,2,3,5,2,1,5,5,5,1,5,3,2,1,4,1,4,1,4,3,5,3,2,6,2,3,1,5,2,3,1,3,3,3,1,3,1,4,3,5,4,3,1,5,1,5,3,5,2,4,1,4,1,1,2,2,1,4,3,1,1,1,1,1,1,1,1,3,1,1,2,1,3,4,1,1,3,1,2.57142857142857,3,4,2.8,4.5,2.5,3.5,4,2,1.25,4,1.91666666666667,2.11111111111111,1.22222222222222,1.88888888888889,NA,2,NA,NA,0.4,NA,0.929926776408983,-0.227852832311975,-0.586045735337861,-0.678645233146201,-1.92671251729533,-1.69426125877529,0.384559081853652,-1.71039830847775,0.735421491814876,-0.0188421964512869,-0.748994472310755,-0.265539965184297,-0.159677239210338,-0.60513362606556,-0.0999930446908302,-0.298402619894822,-1.0189552531723,-2.15536129768719,-0.159771864683853
1,38,0,0,6,6,6,5,6,4,6,5,5,5,5,4,5,3,1,4,4,3,2,5,3,2,1,5,2,6,5,2,2,4,5,6,4,1,2,1,3,4,1,3,1,5,1,2,5,1,1,4,3,5,3,1,4,3,4,2,1,5,5,1,5,1,1,3,5,3,1,3,1,1,1,5,1,3,4,2,1,5,5,4,1,3,5,5.57142857142857,4,4.2,3.53333333333333,3.25,1.5,2,2.75,3.25,3.25,2.66666666666667,2.66666666666667,3,2.11111111111111,3.33333333333333,NA,2,NA,NA,0.4,NA,0.929926776408983,0.493886409497852,-0.586045735337861,-0.678645233146201,0.654964773409848,-0.341253494204126,0.591493537286377,-0.778662696507198,-0.873827926420811,-1.09606435454449,-2.77473644511431,-1.8598680348359,1.14717837779045,1.83833445231114,-2.18804379529474,0.710427775826514,0.179454738516544,-0.892003737852536,1.97931788076707
1,44,0,0,6,6,2,5,6,4,5,4,5,3,5,5,5,5,5,5,5,4,6,5,6,5,1,6,5,5,6,4,6,5,6,6,4,3,4,2,4,3,3,3,3,1,5,2,3,1,4,1,5,4,4,1,3,1,3,1,3,1,5,4,3,1,3,3,2,2,2,5,5,5,1,5,5,5,1,3,1,1,1,1,5,1,1,4.85714285714286,5,4.4,5.06666666666667,3.5,2,3.5,4.25,2.5,1.25,3.75,1.91666666666667,2.77777777777778,3.88888888888889,1.66666666666667,NA,2,NA,NA,0.4,NA,0.929926776408983,1.21562565130768,-0.586045735337861,-0.678645233146201,0.0402797041943286,1.01175427036704,0.798427992719102,1.16951176488577,-0.551978042773673,-0.557453275497888,-0.748994472310755,0.0533256487460231,0.363065007589976,-0.60513362606556,-0.491502560429063,-0.298402619894822,-0.120147759405666,1.63471138181677,-0.488862594753225
0,42,0,0,7,7,2,7,7,2,3,5,5,5,5,4,5,5,5,5,5,4,6,6,5,5,3,6,5,5,6,3,6,5,5,6,5,1,4,1,4,1,5,1,5,1,4,1,5,2,5,1,5,1,5,1,5,1,5,1,5,2,2,3,3,1,4,2,3,3,3,1,1,4,3,1,3,3,1,1,1,1,1,1,1,2,1,5,5,4.8,5.06666666666667,5,1.25,4.75,4.5,1,1,4.75,1.08333333333333,2.77777777777778,2.44444444444444,1.11111111111111,NA,2,NA,NA,0.4,NA,-1.07351841100155,0.975045904037736,-0.586045735337861,-0.678645233146201,0.163216718037433,1.01175427036704,1.21229690358455,1.16951176488577,1.37912125910915,-1.36536989406779,0.939123838358878,0.372191262676343,-1.20516173281097,-0.910567135862648,1.07453550252387,-1.41932528180742,-0.120147759405666,-0.418244652914541,-1.31158941992666
0,36,0,1,7,7,3,7,7,5,5,3,5,2,4,5,5,2,5,3,5,5,3,5,2,3,1,5,2,5,5,2,6,4,4,6,5,3,3,1,4,5,5,2,3,2,5,2,5,5,4,1,5,1,4,1,4,1,5,2,4,5,4,4,2,1,4,4,5,5,5,3,2,5,2,4,2,5,3,2,1,2,3,2,4,1,1,5.85714285714286,4.8,3,3.86666666666667,4.75,2.75,3.5,4.75,2.5,1.25,4.33333333333333,2.16666666666667,3.66666666666667,3.66666666666667,2.11111111111111,NA,2,NA,NA,0.4,NA,-1.07351841100155,0.25330666222791,-0.586045735337861,1.47100939725204,0.900838801096056,0.741152717452809,-0.650113195309975,-0.355146509247858,1.05727137546201,0.250463343072014,-0.748994472310755,0.691056876606663,0.363065007589976,-0.60513362606556,0.422019642960146,0.0378741786789563,1.07826223228317,1.31887199185811,0.16931886538552
1,26,0,0,6,6,1,6,7,7,7,5,3,3,5,3,5,5,4,5,5,1,6,5,4,4,2,5,1,2,6,3,6,6,4,6,5,4,4,1,5,1,4,3,4,2,5,2,5,1,5,1,4,4,3,4,5,1,4,1,5,1,3,5,1,1,3,4,3,4,1,3,1,4,2,1,1,5,1,1,1,4,5,3,1,1,3,5.71428571428571,4.4,4.2,4.06666666666667,4.25,3,4.5,4.5,2,1.25,4.41666666666667,2.08333333333333,2.88888888888889,2.44444444444444,2.22222222222222,NA,2,NA,NA,0.4,NA,0.929926776408983,-0.949592074121802,-0.586045735337861,-0.678645233146201,0.777901787252952,0.199949611624342,0.591493537286377,-0.101036796892254,0.413571608167739,0.519768882595314,0.601500176224951,0.372191262676343,-0.159677239210338,-0.60513362606556,0.552522814872891,-0.074218087512303,0.0296534895554387,-0.418244652914541,0.333864230420206
0,54,0,1,5,5,4,5,5,4,4,2,4,2,4,2,5,1,5,2,5,3,6,5,5,4,1,5,5,5,5,2,5,5,5,5,3,4,4,1,4,2,3,5,4,1,4,1,4,5,4,2,4,2,3,3,4,2,4,1,5,2,4,4,5,2,5,1,5,3,1,3,1,3,4,1,4,1,1,2,1,1,4,2,2,1,1,4.57142857142857,4.6,1.8,4.4,3.25,4.25,4,4,1.5,1.5,3.75,2.41666666666667,3.66666666666667,2.33333333333333,1.66666666666667,NA,NA,3,NA,NA,2.7,-1.07351841100155,2.41852438765739,-0.586045735337861,1.47100939725204,-0.205594323491879,0.470551164538575,-1.89171992790633,0.322479390367087,-0.873827926420811,1.86629658021182,-0.0737471480429018,-0.265539965184297,-0.682419486010652,-0.299700116268473,-0.491502560429063,0.374150977252735,1.07826223228317,-0.576164347893873,-0.488862594753225
1,23,0,0,6,5,3,5,6,3,3,2,4,3,4,4,3,3,2,4,2,3,3,4,2,2,1,3,2,4,2,2,1,1,2,6,5,2,4,1,4,4,2,3,5,1,4,3,5,2,4,1,3,4,4,4,4,1,3,4,5,2,4,5,4,2,5,5,2,2,4,2,2,4,1,1,4,5,1,1,1,1,1,2,1,3,2,4.42857142857143,3,3.2,2.53333333333333,4,2.75,4.25,3.5,3.75,1,3.91666666666667,2.5,3.77777777777778,2.77777777777778,1.44444444444444,1,NA,NA,0.46,NA,NA,0.929926776408983,-1.31046169502671,-0.586045735337861,-0.678645233146201,-0.328531337334982,-1.69426125877529,-0.443178739877249,-2.04921125828522,0.0917217245206013,0.250463343072014,0.263876514091025,-0.903271193044936,1.66992062459076,-0.910567135862648,-0.230496216603575,0.486243243443995,1.22806348124428,0.0555144320234535,-0.817953324822598
0,36,0,0,5,3,7,6,7,7,7,1,5,1,1,5,1,5,1,5,5,6,1,6,1,1,6,6,6,6,6,6,6,6,6,4,5,5,5,5,5,5,5,4,4,5,3,3,5,5,5,5,5,5,5,4,4,4,5,4,5,5,5,5,5,3,4,3,4,5,2,4,4,4,1,4,2,4,4,2,4,5,4,4,2,4,4,6,2.6,3.4,4.86666666666667,5,4.5,4.5,4.5,4.25,4.75,4.66666666666667,4.5,4.33333333333333,3.33333333333333,3.66666666666667,NA,2,NA,NA,0.4,NA,-1.07351841100155,0.25330666222791,-0.586045735337861,-0.678645233146201,1.02377581493916,-2.23546436460376,-0.236244284444524,0.915402052530162,1.37912125910915,2.13560211973512,0.601500176224951,0.372191262676343,2.19266287139108,3.67093551109367,0.944032330611124,3.17645763203423,1.9770697260498,0.845112906920112,2.47295397587113
0,35,0,0,7,7,7,7,7,4,7,4,3,3,4,5,5,3,5,5,5,2,6,6,4,1,1,2,4,2,4,1,3,3,3,3,4,3,3,1,5,1,5,1,4,1,5,3,5,4,4,1,5,1,5,4,4,1,5,1,5,1,3,1,1,1,4,5,3,1,2,1,1,3,1,1,3,3,1,5,1,2,5,4,3,1,1,6.57142857142857,4.4,4,3,4.75,3,3.75,5,1.5,1,4.5,1.83333333333333,2.66666666666667,1.77777777777778,2.55555555555556,NA,2,NA,NA,0.4,NA,-1.07351841100155,0.133016788592939,-0.586045735337861,-0.678645233146201,1.51552387031157,0.199949611624342,0.384559081853652,-1.45628859612214,1.05727137546201,0.519768882595314,-0.411370810176828,1.00992249053698,-0.682419486010652,-0.910567135862648,0.683025986785635,-0.410494886086082,-0.269949008366771,-1.36576282279053,0.827500325524265
0,52,1,1,5,4,4,5,4,5,3,4,4,4,4,4,4,4,4,4,4,4,3,5,4,3,3,4,5,4,5,3,3,3,3,4,4,3,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,2,4,3,4,2,4,3,2,3,4,2,4,2,3,4,3,3,4,4,3,3,2,4,3,4,3,3,3,3,3,2,2,4.28571428571429,4,4,3.73333333333333,4,2.25,4,4,2,2.25,4,2.16666666666667,3,3.33333333333333,2.88888888888889,NA,NA,3,NA,NA,2.7,-1.07351841100155,2.17794464038745,1.70343960404871,1.47100939725204,-0.451468351178087,-0.341253494204126,0.384559081853652,-0.524552984151594,0.0917217245206013,-0.288147735974587,-0.0737471480429018,-0.265539965184297,-0.159677239210338,0.61660041312279,-0.0999930446908302,0.0378741786789563,0.179454738516544,0.845112906920112,1.32113642062832
1,34,0,1,5,5,3,3,6,5,4,1,3,1,1,5,5,5,3,2,3,3,5,5,6,4,2,3,5,6,6,5,4,3,5,6,2,1,1,1,3,1,3,4,5,1,5,1,5,1,1,1,5,2,3,1,2,1,5,1,5,1,2,4,1,1,4,1,4,2,2,3,3,4,1,1,5,1,1,1,1,1,5,1,1,1,3,4.42857142857143,3,2.8,4.53333333333333,3.25,1.75,2.25,4.5,1.25,1,3.33333333333333,1.33333333333333,2.55555555555556,2.44444444444444,1.66666666666667,NA,2,NA,NA,0.4,NA,0.929926776408983,0.0127269149579675,-0.586045735337861,1.47100939725204,-0.328531337334982,-1.69426125877529,-0.8570476507427,0.491885865270822,-0.873827926420811,-0.826758815021189,-2.43711278298039,0.372191262676343,-0.943790609410809,-0.910567135862648,-1.14401841999278,-1.08304848323364,-0.419750257327877,-0.418244652914541,-0.488862594753225
1,36,0,0,6,6,3,5,6,3,5,5,5,5,5,1,1,1,5,1,5,6,6,6,5,5,2,5,5,6,5,3,6,4,6,6,3,4,5,1,4,1,4,3,4,1,5,4,4,3,4,1,5,1,4,2,5,3,3,1,4,4,4,1,3,5,2,4,3,4,5,2,2,4,4,1,5,3,2,5,1,5,5,1,1,1,4,4.85714285714286,4.2,2.6,5.06666666666667,3.75,3,4.5,4.25,1.75,1.5,4.16666666666667,2.08333333333333,3.33333333333333,3.33333333333333,2.77777777777778,NA,2,NA,NA,0.4,NA,0.929926776408983,0.25330666222791,-0.586045735337861,-0.678645233146201,0.0402797041943286,-0.0706519412898917,-1.06398210617542,1.16951176488577,-0.230128159126536,0.519768882595314,0.601500176224951,0.0533256487460231,-0.421048362610495,-0.299700116268473,0.161013299134659,-0.074218087512303,0.628858485399859,0.845112906920112,1.15659105559364
